metric,median,mean,95pct
rms_deg_median,30.921139429744656,27.117921637266914,42.64765808984727
rms_deg_mean,27.117921637266914,27.117921637266914,27.117921637266914
rms_deg_95pct,42.64765808984727,42.64765808984727,42.64765808984727
max_deg_median,51.21324910128094,48.67553285735845,80.4104612560017
max_deg_mean,48.67553285735845,48.67553285735845,48.67553285735845
max_deg_95pct,80.4104612560017,80.4104612560017,80.4104612560017
effort_median,0.017149884045088035,0.017154605946721344,0.01719491970148185
effort_mean,0.017154605946721344,0.017154605946721344,0.017154605946721344
effort_95pct,0.01719491970148185,0.01719491970148185,0.01719491970148185
sat_fraction_median,0.999,0.9989666666666666,1.0
sat_fraction_mean,0.9989666666666666,0.9989666666666666,0.9989666666666666
sat_fraction_95pct,1.0,1.0,1.0
settling_time_after_disturb_s_median,nan,nan,nan
settling_time_after_disturb_s_mean,nan,nan,nan
settling_time_after_disturb_s_95pct,nan,nan,nan
estimator_rms_deg_median,30.90604884893027,26.86536099663194,42.05170057534925
estimator_rms_deg_mean,26.86536099663194,26.86536099663194,26.86536099663194
estimator_rms_deg_95pct,42.05170057534925,42.05170057534925,42.05170057534925
